fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.9327731092436975,0.9493670886075949,0.9324577861163227,0.5,1.0,0.9187129067169391
2,0.865546218487395,0.9,0.9202626641651033,0.5,1.0,0.9238218882372109
3,0.8907563025210085,0.9171974522292994,0.9218261413383364,0.1,1.0,0.9257591758599822
4,0.8728813559322034,0.9032258064516129,0.9201923076923078,0.5,1.0,0.9338063817902528
5,0.8813559322033898,0.9102564102564102,0.9429838454228698,0.5,1.0,0.9286456151375505
6,0.8991596638655462,0.925,0.8964978111319576,0.5,1.0,0.9371562689103012
7,0.865546218487395,0.8987341772151899,0.9434021263289556,0.1,1.0,0.9155937252711446
8,0.865546218487395,0.9012345679012346,0.9327704815509693,0.5,1.0,0.9271793394777266
9,0.8983050847457628,0.9210526315789473,0.9394230769230769,0.1,1.0,0.9202715519247777
10,0.8389830508474576,0.8758169934640523,0.8926195755464048,5.0,0.05,0.936195480147093
