fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8584905660377359,0.8854961832061069,0.9354596622889306,5.0,0.05,0.9233166649526943
2,0.8666666666666667,0.8939393939393939,0.8795731707317074,1.0,1.0,0.9355642111156819
3,0.8857142857142857,0.9047619047619048,0.9416920731707317,5.0,0.05,0.9286552601809955
4,0.9238095238095239,0.9365079365079365,0.977515243902439,0.5,1.0,0.9179416478129714
5,0.8380952380952381,0.8661417322834646,0.8963414634146342,0.5,1.0,0.935635555212761
6,0.8679245283018868,0.8970588235294118,0.9121951219512194,0.5,1.0,0.93541152474976
7,0.8666666666666667,0.8870967741935484,0.9401676829268293,0.5,1.0,0.9173757512911924
8,0.8380952380952381,0.8682170542635659,0.942454268292683,2.0,0.1,0.9223516985465515
9,0.8761904761904762,0.8925619834710744,0.9546493902439024,0.5,1.0,0.9223894059372
10,0.8761904761904762,0.9022556390977443,0.9051067073170731,0.5,1.0,0.9354186663010193
