C,gamma,mean_auc,std_across_runs,n_runs
1.0,1.0,0.9424646037276698,0.004432179654095622,10
0.5,1.0,0.9421323488745091,0.0035614095757999656,10
2.0,1.0,0.9414979813063435,0.005100699482269786,10
5.0,0.1,0.9393775233670704,0.0036953489670203945,10
10.0,0.1,0.9392796305514075,0.0040349303952000645,10
10.0,0.05,0.9388891654222664,0.0037053531422551536,10
0.1,1.0,0.9388507272827831,0.0024318597417376043,10
5.0,1.0,0.9383338864000885,0.004993174630865818,10
5.0,0.05,0.9375984458824179,0.002833173341912025,10
2.0,0.1,0.9373873126486366,0.0027032718308006255,10
2.0,0.05,0.9359617830872187,0.0020626202832566875,10
1.0,0.1,0.9359326088158841,0.0019670048121626644,10
10.0,0.01,0.9358124550633262,0.0022244437062390425,10
10.0,1.0,0.9351686853603229,0.005032059238143158,10
0.5,0.1,0.9333658260051989,0.0025316503811027304,10
1.0,0.05,0.933202947845805,0.0023253263722230137,10
5.0,0.01,0.9330645428903269,0.002474392546195868,10
0.01,1.0,0.9302004866987446,0.0020651739419043995,10
0.5,0.05,0.9297642552956141,0.0023786795087436395,10
2.0,0.01,0.9285954869752778,0.0024435893116064376,10
0.1,0.1,0.9262037497926,0.002431263953850086,10
10.0,0.001,0.9259659310878823,0.00239185041903175,10
1.0,0.01,0.92594906255185,0.0023630028547601003,10
0.1,0.05,0.9255682760909242,0.0023221644202949462,10
0.5,0.01,0.9253034953818926,0.0023005279148583585,10
5.0,0.001,0.9252806813782424,0.0023228429698545867,10
2.0,0.001,0.6409167081466733,0.05377811422770299,10
0.01,0.001,0.0747367402245451,0.002231275398186475,10
0.1,0.001,0.0747367402245451,0.002231275398186475,10
0.5,0.001,0.0747367402245451,0.002231275398186475,10
1.0,0.001,0.0747367402245451,0.002231275398186475,10
0.01,0.01,0.07471434102096124,0.0022861916701972006,10
0.1,0.01,0.07471434102096124,0.0022861916701972006,10
0.01,0.05,0.0744607599137216,0.0023010783256219827,10
0.01,0.1,0.0741947348044909,0.002287393379518197,10
