fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8260869565217391,0.8701298701298701,0.8628872775214238,0.5,1.0,0.943688898039424
2,0.8956521739130435,0.9178082191780822,0.941331575477917,0.5,1.0,0.9288989028213166
3,0.8596491228070176,0.8933333333333333,0.929391891891892,0.5,1.0,0.9305129022545738
4,0.8947368421052632,0.9178082191780822,0.9254928165720013,5.0,0.05,0.9306529275808938
5,0.9035087719298246,0.9241379310344827,0.9746074173070498,0.5,1.0,0.9165639445300462
6,0.9391304347826087,0.954248366013072,0.9676994067237971,0.5,1.0,0.9197867408745551
7,0.8521739130434782,0.8874172185430463,0.9067237969676993,0.1,1.0,0.9319984990170556
8,0.8859649122807017,0.9090909090909091,0.9283783783783784,0.5,1.0,0.9314929688468554
9,0.868421052631579,0.8951048951048951,0.9345138656866021,0.5,1.0,0.9265408320493066
10,0.8421052631578947,0.88,0.915135315736719,0.5,1.0,0.9343733949666154
