C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9328362369337979,0.0031212805540345233,10
1.0,1.0,0.9318919860627177,0.003704868580367456,10
5.0,0.05,0.9313554006968641,0.0025736031228091585,10
2.0,0.1,0.931177700348432,0.002640370207475068,10
5.0,0.1,0.9310104529616725,0.003226546892993929,10
10.0,0.05,0.9308850174216028,0.0031662486973984194,10
10.0,0.1,0.9303205574912893,0.0036306033168006673,10
0.1,1.0,0.9294425087108014,0.0023296648888607254,10
2.0,1.0,0.9289930313588851,0.004832552894993798,10
1.0,0.1,0.9288466898954704,0.002435950166995056,10
2.0,0.05,0.9287909407665506,0.002448521414106642,10
10.0,0.01,0.9286968641114983,0.0024393119680028628,10
0.5,0.1,0.9253902439024391,0.002609911416826849,10
1.0,0.05,0.9253344947735191,0.002440597357945732,10
5.0,0.01,0.9252020905923345,0.002558969298466877,10
5.0,1.0,0.9247804878048781,0.005886561107117914,10
10.0,1.0,0.921205574912892,0.006595143779320951,10
0.5,0.05,0.9205714285714286,0.002104624478354753,10
2.0,0.01,0.9188675958188153,0.0021048199567436517,10
0.01,1.0,0.9185714285714285,0.0021325635885852175,10
0.1,0.05,0.9152857142857143,0.0022160114390291823,10
0.5,0.01,0.9152160278745646,0.0022973069618445153,10
0.1,0.1,0.9151358885017421,0.0022237985778442502,10
5.0,0.001,0.9150871080139373,0.0023035783412419307,10
1.0,0.01,0.9147700348432057,0.0021342992194407933,10
10.0,0.001,0.9147038327526132,0.002145554455970888,10
2.0,0.001,0.8962229965156794,0.05992580090870911,10
1.0,0.001,0.123198606271777,0.04633302051814765,10
0.01,0.1,0.11080836236933797,0.05508435873829729,10
0.01,0.001,0.08493379790940767,0.0021994623068064072,10
0.1,0.001,0.08493379790940767,0.0021994623068064072,10
0.5,0.001,0.08493379790940767,0.0021994623068064072,10
0.01,0.01,0.08491289198606272,0.002177878428646015,10
0.1,0.01,0.08491289198606272,0.002177878428646015,10
0.01,0.05,0.08476655052264809,0.0021386147883825494,10
