C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9295018256831143,0.0025239977233491168,10
1.0,1.0,0.9277236875489514,0.0024854539334565246,10
5.0,0.05,0.9274456983375805,0.0026049824886704015,10
5.0,0.1,0.9273035046497006,0.0028231780593431914,10
2.0,0.1,0.92729357646358,0.0025498427143191213,10
10.0,0.05,0.927028438737576,0.0027822842244679927,10
0.1,1.0,0.9264868561847084,0.0026215661953859597,10
2.0,1.0,0.9258826709026927,0.0028010881527911016,10
10.0,0.1,0.9256742893073436,0.002733989293243589,10
1.0,0.1,0.9255585707824514,0.002587272981646323,10
2.0,0.05,0.9254161564682132,0.002458113795534386,10
10.0,0.01,0.9251368434986927,0.0024070531614770723,10
0.5,0.1,0.9224489525763643,0.0029781213278010496,10
1.0,0.05,0.9223092960916042,0.0028991756367735743,10
5.0,0.01,0.9221073678172331,0.0028189921857978864,10
5.0,1.0,0.9218463116788562,0.003168260971799796,10
10.0,1.0,0.9185857850437392,0.0038369892966130265,10
0.5,0.05,0.9178442598537246,0.0027126044016385696,10
0.01,1.0,0.9163003165988239,0.0024691346007466052,10
2.0,0.01,0.9160454931550672,0.0026795245146269404,10
0.1,0.1,0.9128250653605587,0.003032319128552234,10
0.1,0.05,0.9128230245667449,0.003108281745668434,10
0.5,0.01,0.9124405687747515,0.003114781608479912,10
5.0,0.001,0.9123524285446383,0.003168809181916067,10
1.0,0.01,0.9123143704978434,0.0030440758464300257,10
10.0,0.001,0.9122632403393233,0.0029836457062046786,10
0.01,0.001,0.08756704283460745,0.0030385710042964338,10
0.1,0.001,0.08756704283460745,0.0030385710042964338,10
0.5,0.001,0.08756704283460745,0.0030385710042964338,10
1.0,0.001,0.08756704283460745,0.0030385710042964338,10
2.0,0.001,0.08756704283460745,0.0030385710042964338,10
0.01,0.01,0.08752302787614037,0.0030092969892236993,10
0.1,0.01,0.08752302787614037,0.0030092969892236993,10
0.01,0.05,0.08729501053490861,0.0031096472235951603,10
0.01,0.1,0.08705331435946653,0.0029883273991572683,10
