fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8454545454545455,0.8794326241134752,0.9088016967126193,0.5,1.0,0.9331000663197633
2,0.8990825688073395,0.920863309352518,0.9192969870875178,0.5,1.0,0.9348951637588001
3,0.8899082568807339,0.9117647058823529,0.9562410329985653,0.5,1.0,0.9244901030507092
4,0.8532110091743119,0.8857142857142857,0.9221664275466284,1.0,1.0,0.9315003571064177
5,0.8532110091743119,0.8823529411764706,0.9325681492109039,5.0,0.05,0.9259148301193758
6,0.8545454545454545,0.8823529411764706,0.928243195475433,0.5,1.0,0.9257440567289053
7,0.926605504587156,0.9411764705882353,0.9691535150645625,0.5,1.0,0.9272109988776656
8,0.7981651376146789,0.835820895522388,0.890961262553802,0.5,1.0,0.9330098969492908
9,0.8899082568807339,0.9130434782608695,0.9418938307030129,0.5,1.0,0.9265611927354351
10,0.8990825688073395,0.9219858156028369,0.9300573888091823,2.0,0.1,0.9296916131007041
