fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8348623853211009,0.8636363636363636,0.9157101865136298,2.0,1.0,0.9328329812803083
2,0.9166666666666666,0.9333333333333333,0.9625045504186385,0.5,1.0,0.9211134537195858
3,0.8981481481481481,0.920863309352518,0.9399344739716053,1.0,1.0,0.9254167725472756
4,0.8055555555555556,0.8372093023255814,0.8543866035675283,5.0,0.05,0.9515567096541938
5,0.8888888888888888,0.9142857142857143,0.9599563159810702,0.5,1.0,0.9228575720517543
6,0.908256880733945,0.9264705882352942,0.9673601147776184,0.5,1.0,0.9103341459670077
7,0.8611111111111112,0.8854961832061069,0.9250091008372769,0.5,1.0,0.9311410091480846
8,0.8703703703703703,0.8970588235294118,0.8987986894794321,10.0,0.05,0.9377558340215574
9,0.8518518518518519,0.8857142857142857,0.9137240626137605,0.5,1.0,0.9360604207695402
10,0.8796296296296297,0.9022556390977443,0.9406625409537678,0.5,1.0,0.9236239491349554
