C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9304140336460751,0.0029103975044122254,10
1.0,1.0,0.928923239811813,0.0034978029171108898,10
2.0,0.1,0.9287780880613322,0.0023178879632776263,10
0.1,1.0,0.9287685229499463,0.0021654567695026873,10
5.0,0.05,0.9286738674023172,0.0021266121079437563,10
5.0,0.1,0.9285015091519853,0.0026715220755191534,10
10.0,0.05,0.9283918309388574,0.002698781480718703,10
1.0,0.1,0.9275079803324875,0.0020612191236549014,10
2.0,0.05,0.9273527036057108,0.0021363196446112873,10
10.0,0.1,0.9272102902267452,0.002809982691017308,10
10.0,0.01,0.92719657353645,0.002276750604293651,10
2.0,1.0,0.9263487980964593,0.0036869310889174915,10
0.5,0.1,0.9248827771557057,0.0020652117122535447,10
1.0,0.05,0.9247628565752523,0.0020628194895493564,10
5.0,0.01,0.9245130010565192,0.002186962774233166,10
5.0,1.0,0.9226755673147254,0.00523213627603411,10
0.5,0.05,0.9222562194670447,0.0022280257578076953,10
0.01,1.0,0.9221826468968134,0.002613373820866647,10
2.0,0.01,0.9210742430536116,0.002392301844162458,10
10.0,1.0,0.9205397504086111,0.0060382988373064665,10
0.1,0.05,0.9191720455838398,0.002623880284248498,10
0.1,0.1,0.9190715137121753,0.002663197326752695,10
0.5,0.01,0.9189054054054054,0.0025433099209020535,10
5.0,0.001,0.9187950149447811,0.0025304940659655524,10
1.0,0.01,0.918622301135081,0.0026572192394401823,10
10.0,0.001,0.9185991525270676,0.002654650181463687,10
2.0,0.001,0.41472545172971165,0.015101372027593195,10
1.0,0.001,0.37660415970598066,0.05396170869007367,10
0.1,0.01,0.3751204431962868,0.05169336305147727,10
0.01,0.1,0.3374674443069866,0.06002976932783413,10
0.01,0.001,0.08125148996306698,0.002681767919763663,10
0.1,0.001,0.08125148996306698,0.002681767919763663,10
0.5,0.001,0.08125148996306698,0.002681767919763663,10
0.01,0.01,0.08119822829846218,0.0026768481318542865,10
0.01,0.05,0.08086500708861218,0.002612362456479262,10
