fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8425925925925926,0.8702290076335878,0.9195485984710593,0.5,1.0,0.9276550886220697
2,0.9259259259259259,0.9402985074626866,0.9599563159810702,0.5,1.0,0.9179638364779873
3,0.897196261682243,0.9197080291970803,0.942719881744272,0.5,1.0,0.9267712502382313
4,0.8411214953271028,0.8702290076335878,0.8817442719881745,1.0,1.0,0.940568817101836
5,0.8878504672897196,0.9104477611940298,0.9497413155949742,1.0,1.0,0.9294513531541833
6,0.8518518518518519,0.8857142857142857,0.9301055697124135,0.1,1.0,0.9320290165809034
7,0.8888888888888888,0.9076923076923077,0.9493993447397161,5.0,0.05,0.9254145225843338
8,0.8785046728971962,0.8992248062015504,0.9294161123429416,0.5,1.0,0.9260726367448064
9,0.8411214953271028,0.8759124087591241,0.9127864005912786,5.0,0.1,0.9328374150308113
10,0.897196261682243,0.9172932330827067,0.9323725055432373,0.5,1.0,0.9259138158312687
