C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9308243403405901,0.00397193068634348,10
1.0,1.0,0.9297601522051027,0.0045238515156070655,10
5.0,0.1,0.9295282577506082,0.0035965553739877375,10
10.0,0.05,0.9292496309234192,0.003730129859637006,10
5.0,0.05,0.9291893310876842,0.003036114280730878,10
2.0,0.1,0.9289159545048136,0.0028300809461861086,10
10.0,0.1,0.9281619466450419,0.003974646540114495,10
0.1,1.0,0.9272948246106502,0.00302409217076427,10
2.0,1.0,0.927051493980413,0.004764344829459071,10
1.0,0.1,0.9266224814422058,0.0022770999975379002,10
2.0,0.05,0.9265117584679683,0.0023455032069810487,10
10.0,0.01,0.9263866363088183,0.002292807450934422,10
0.5,0.1,0.9231044538706257,0.0028415447564351156,10
5.0,0.01,0.9230568897760589,0.00288548849286843,10
1.0,0.05,0.9230079221508328,0.0028840468619447043,10
5.0,1.0,0.9226564156945918,0.005629076326779482,10
10.0,1.0,0.92009710352858,0.00573232573656165,10
0.5,0.05,0.9185852930779947,0.0021821643638618208,10
0.01,1.0,0.9170914686128958,0.002300743044427047,10
2.0,0.01,0.916983084856424,0.0021408967039074434,10
0.1,0.1,0.9135967812363546,0.002221833554588393,10
0.1,0.05,0.913493647724201,0.0023612770877837197,10
5.0,0.001,0.9133217931923564,0.0024197540411298015,10
0.5,0.01,0.9133185702701017,0.0023015123873876965,10
1.0,0.01,0.9130145759258104,0.0021946909077717345,10
10.0,0.001,0.9129786039548374,0.0021918240835910956,10
0.01,0.1,0.10011909217557649,0.006782445484431234,10
0.1,0.01,0.09080240367621067,0.0044022638536903675,10
1.0,0.001,0.09049014409581436,0.00436455726703473,10
0.01,0.001,0.08674911109724909,0.0023145824490075034,10
0.1,0.001,0.08674911109724909,0.0023145824490075034,10
2.0,0.001,0.08674911109724909,0.0023145824490075034,10
0.01,0.01,0.08671345102197825,0.002313282231606805,10
0.5,0.001,0.08665226748175411,0.002343530529745354,10
0.01,0.05,0.0864490674318508,0.0023996862385895572,10
