fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8878504672897196,0.9104477611940298,0.9334811529933481,0.1,1.0,0.9203550380437173
2,0.8598130841121495,0.8872180451127819,0.8780487804878049,1.0,1.0,0.9439385692923429
3,0.8773584905660378,0.9037037037037037,0.9407129455909944,1.0,1.0,0.9272075801556934
4,0.8679245283018868,0.8852459016393442,0.9542213883677299,2.0,0.1,0.9190762853498702
5,0.8679245283018868,0.8970588235294118,0.9212007504690432,0.5,1.0,0.9304696090073449
6,0.897196261682243,0.9172932330827067,0.9634146341463415,5.0,0.05,0.9216695254431103
7,0.9065420560747663,0.927536231884058,0.9419807834441981,0.5,1.0,0.9187530237058541
8,0.7735849056603774,0.8125,0.8611632270168855,0.5,1.0,0.9460342723314421
9,0.8584905660377359,0.8818897637795275,0.9474671669793622,0.5,1.0,0.9199778994590314
10,0.9528301886792453,0.9624060150375939,0.9692307692307693,0.5,1.0,0.9241739785371861
