dataset,label,n_total_in_group,n_unique_novel_in_group,binder_fraction,sd,n_iter,sample_frac
case4_txt,__ALL__,321,308,0.47735445205479443,0.006610337588033802,10000,0.95
case4_txt,group1,150,146,0.5067586956521739,0.010031903294036628,10000,0.95
case4_txt,group2,171,162,0.45081045751634,0.009447381771783883,10000,0.95
case4_csv,__ALL__,321,308,0.47725239726027396,0.006666173707887778,10000,0.95
case4_csv,group1,150,146,0.5069115942028986,0.010045751149220683,10000,0.95
case4_csv,group2,171,162,0.450643137254902,0.009482616033298936,10000,0.95
