dataset,label,n_total_in_group,n_unique_novel_in_group,binder_fraction,sd,n_iter,sample_frac
case2_txt,__ALL__,321,308,0.4772517123287671,0.006699118386764029,10000,0.95
case2_txt,group1,150,146,0.5068340579710146,0.009921616742546002,10000,0.95
case2_txt,group2,171,162,0.4507496732026145,0.009505375763049587,10000,0.95
case2_csv,__ALL__,321,308,0.47726678082191776,0.00671226620567714,10000,0.95
case2_csv,group1,150,146,0.506863768115942,0.009915130723559835,10000,0.95
case2_csv,group2,171,162,0.45055620915032696,0.00949151035660752,10000,0.95
