fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8691588785046729,0.8923076923076924,0.9061345158906134,10,1.0
2,0.8785046728971962,0.8992248062015504,0.9153732446415374,5,1.0
3,0.8679245283018868,0.8985507246376812,0.925703564727955,1,1.0
4,0.8301886792452831,0.8615384615384616,0.8596622889305816,10,1.0
5,0.8584905660377359,0.8780487804878049,0.926454033771107,5,1.0
6,0.8411214953271028,0.8702290076335878,0.9231337767923133,5,1.0
7,0.8878504672897196,0.9090909090909091,0.9002217294900222,10,1.0
8,0.8773584905660378,0.8992248062015504,0.8911819887429643,5,1.0
9,0.8679245283018868,0.8939393939393939,0.926078799249531,10,0.1
10,0.8962264150943396,0.916030534351145,0.9208255159474672,10,1.0
