fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8518518518518519,0.8805970149253731,0.9195485984710593,10,1.0
2,0.8611111111111112,0.8872180451127819,0.8831452493629414,1,1.0
3,0.897196261682243,0.9185185185185185,0.9530672579453068,10,1.0
4,0.8504672897196262,0.875,0.894308943089431,5,1.0
5,0.8691588785046729,0.8888888888888888,0.943089430894309,5,1.0
6,0.8888888888888888,0.9076923076923077,0.9413906079359301,10,0.1
7,0.8981481481481481,0.9185185185185185,0.9752457226064797,2,1.0
8,0.8130841121495327,0.8412698412698413,0.9109386548410938,10,1.0
9,0.8504672897196262,0.8823529411764706,0.8762010347376201,10,1.0
10,0.8317757009345794,0.859375,0.8595713229859571,5,1.0
