fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.9150943396226415,0.9333333333333333,0.9407129455909945,1,1.0
2,0.8571428571428571,0.8780487804878049,0.9035823170731707,2,1.0
3,0.8380952380952381,0.8682170542635659,0.9051067073170732,2,1.0
4,0.8857142857142857,0.9090909090909091,0.9028201219512195,2,1.0
5,0.8571428571428571,0.8760330578512396,0.8917682926829269,10,1.0
6,0.8962264150943396,0.9172932330827067,0.9166979362101313,10,0.1
7,0.8857142857142857,0.90625,0.9077743902439025,10,1.0
8,0.8476190476190476,0.8666666666666667,0.897484756097561,10,1.0
9,0.8571428571428571,0.8818897637795275,0.915015243902439,10,1.0
10,0.8761904761904762,0.8992248062015504,0.8689024390243901,10,1.0
