run_id,pkl,cv_auc,best_C,best_gamma
6,setF7_run6_auc0.9566_C10_g1.pkl,0.956628461906611,10,1.0
7,setF7_run7_auc0.9563_C10_g1.pkl,0.9563238096098103,10,1.0
9,setF7_run9_auc0.9562_C2_g1.pkl,0.9561693952555963,2,1.0
5,setF7_run5_auc0.9555_C2_g1.pkl,0.9555474259759258,2,1.0
3,setF7_run3_auc0.9555_C2_g1.pkl,0.955462768983484,2,1.0
4,setF7_run4_auc0.9553_C5_g1.pkl,0.9552701348190823,5,1.0
2,setF7_run2_auc0.9541_C5_g1.pkl,0.9541147813366322,5,1.0
1,setF7_run1_auc0.9539_C5_g1.pkl,0.9538599299265854,5,1.0
10,setF7_run10_auc0.9529_C2_g1.pkl,0.9528744096585727,2,1.0
8,setF7_run8_auc0.9521_C10_g0.1.pkl,0.9521150025735725,10,0.1
