fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8648648648648649,0.8920863309352518,0.9139372822299651,2,1
2,0.8828828828828829,0.9090909090909091,0.9228222996515679,10,1
3,0.8648648648648649,0.8888888888888888,0.9334494773519163,2,1
4,0.8828828828828829,0.9078014184397163,0.9087108013937283,1,1
5,0.8918918918918919,0.9130434782608695,0.9076655052264808,2,1
6,0.9009009009009009,0.920863309352518,0.9463414634146341,5,1
7,0.8918918918918919,0.9142857142857143,0.9132404181184669,5,1
8,0.8828828828828829,0.9022556390977443,0.9466898954703833,5,1
9,0.8648648648648649,0.8920863309352518,0.8958188153310104,2,1
10,0.8648648648648649,0.896551724137931,0.9212543554006969,5,1
