fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.908256880733945,0.9230769230769231,0.975609756097561,5,1.0
2,0.8796296296296297,0.8992248062015504,0.9461230433199854,5,1.0
3,0.8240740740740741,0.8652482269503546,0.8820531488896979,5,1.0
4,0.9074074074074074,0.927536231884058,0.9199126319621406,2,1.0
5,0.8055555555555556,0.8444444444444444,0.8791408809610484,5,1.0
6,0.8623853211009175,0.8888888888888888,0.9142754662840746,10,1.0
7,0.9166666666666666,0.9333333333333333,0.8947943210775391,10,1.0
8,0.8888888888888888,0.9104477611940298,0.92282489989079,5,1.0
9,0.9166666666666666,0.9323308270676691,0.9388423734983619,10,0.1
10,0.8333333333333334,0.8656716417910447,0.8878776847469968,2,1.0
