fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8521739130434782,0.8843537414965986,0.9340804218852999,10,0.1
2,0.8521739130434782,0.8827586206896552,0.8642056690837179,10,1.0
3,0.8771929824561403,0.9066666666666666,0.8831081081081081,5,1.0
4,0.8157894736842105,0.8531468531468531,0.8777146675576345,2,1.0
5,0.8596491228070176,0.8904109589041096,0.8864016037420649,10,1.0
6,0.8869565217391304,0.9103448275862069,0.9083717864205669,10,0.1
7,0.8434782608695652,0.875,0.9060646011865524,2,1.0
8,0.8333333333333334,0.8689655172413793,0.8986486486486487,2,1.0
9,0.8508771929824561,0.8874172185430463,0.920147009689275,2,1.0
10,0.8947368421052632,0.9142857142857143,0.9325091881055798,10,1.0
