run_id,pkl,cv_auc,best_C,best_gamma
6,setF8_run6_auc0.9531_C2_g1.pkl,0.9531202334251114,2,1.0
2,setF8_run2_auc0.9526_C2_g1.pkl,0.9526119815144204,2,1.0
10,setF8_run10_auc0.9522_C2_g1.pkl,0.9522164623993893,2,1.0
5,setF8_run5_auc0.9520_C10_g1.pkl,0.951969818799087,10,1.0
8,setF8_run8_auc0.9517_C5_g1.pkl,0.9516540979345857,5,1.0
3,setF8_run3_auc0.9508_C10_g0.1.pkl,0.9508296581467313,10,0.1
1,setF8_run1_auc0.9497_C5_g1.pkl,0.9497093556849654,5,1.0
9,setF8_run9_auc0.9496_C10_g1.pkl,0.949589394345492,10,1.0
4,setF8_run4_auc0.9488_C10_g0.1.pkl,0.9488350673716528,10,0.1
7,setF8_run7_auc0.9470_C1_g1.pkl,0.9470027939540134,1,1.0
