fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.9,0.9219858156028369,0.9091551785083068,10,1
2,0.908256880733945,0.927536231884058,0.926829268292683,10,1
3,0.9174311926605505,0.9333333333333333,0.9497847919655668,10,1
4,0.8623853211009175,0.8905109489051095,0.9232424677187948,2,1
5,0.7981651376146789,0.8382352941176471,0.8827116212338595,1,1
6,0.8181818181818182,0.8591549295774648,0.8978437610463061,5,1
7,0.908256880733945,0.9264705882352942,0.9562410329985653,2,1
8,0.8990825688073395,0.920863309352518,0.8805595408895265,10,1
9,0.8348623853211009,0.8656716417910447,0.9053084648493543,2,1
10,0.8899082568807339,0.9117647058823529,0.9185796269727404,5,1
